Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2022,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1951
2022,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,904
2022,Remaining,DEC,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,4
2022,Remaining,DEC,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,3
2022,Remaining,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,211
2022,Remaining,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,70
2022,Remaining,DEC,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,13
2022,Remaining,DEC,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,4
2022,Remaining,DEC,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,72
2022,Remaining,DEC,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,25
2022,Remaining,DEC,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,181
2022,Remaining,DEC,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,430
2022,Remaining,DEC,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,1602
2022,Remaining,DEC,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,17
2022,Remaining,DEC,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,20
2022,Remaining,DEC,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,31
2022,Remaining,DEC,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,28
2022,Remaining,DEC,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,14
2022,Remaining,DEC,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,70
2022,Remaining,DEC,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1941
2022,Remaining,DEC,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1811
2022,Remaining,DEC,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,77
2022,Remaining,DEC,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1853
2022,Remaining,DEC,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,4
2022,Remaining,DEC,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,17
2022,Remaining,DEC,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,17
2022,Remaining,DEC,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,110
2022,Remaining,DEC,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,26
2022,Remaining,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1080
2022,Remaining,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1846
2022,Remaining,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,1978
2022,Remaining,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,1143
2022,Remaining,DEC,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,4389
2022,Remaining,DEC,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,2625
2022,Remaining,DEC,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1744
2022,Remaining,DEC,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,184
2022,Remaining,DEC,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,2714
2022,Remaining,DEC,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,31734
2022,Remaining,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,4310
2022,Remaining,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,179
2022,Remaining,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,12153
2022,Remaining,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,362
2022,Remaining,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,7720
2022,Remaining,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,540
2022,Remaining,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,41435
2022,Remaining,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1756
2022,Remaining,DEC,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,2319
2022,Remaining,DEC,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,38687
2022,Remaining,DEC,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1342
2022,Remaining,DEC,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,5272
2022,Remaining,DEC,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2582
2022,Remaining,DEC,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1783
2022,Remaining,DEC,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,725
2022,Remaining,FEB,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1
2022,Remaining,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,2
2022,Remaining,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1
2022,Remaining,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,7
2022,Remaining,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,3
2022,Remaining,FEB,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,166
2022,Remaining,FEB,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,38
2022,Remaining,FEB,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,9
2022,Remaining,FEB,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2
2022,Remaining,FEB,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,97
2022,Remaining,FEB,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,66
2022,Remaining,FEB,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,261
2022,Remaining,FEB,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,322
2022,Remaining,FEB,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,811
2022,Remaining,FEB,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,8
2022,Remaining,FEB,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,33
2022,Remaining,FEB,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,9
2022,Remaining,FEB,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,30
2022,Remaining,FEB,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,18
2022,Remaining,FEB,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,80
2022,Remaining,FEB,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1995
2022,Remaining,FEB,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2016
2022,Remaining,FEB,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,56
2022,Remaining,FEB,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,609
2022,Remaining,FEB,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,10
2022,Remaining,FEB,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,26
2022,Remaining,FEB,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,17
2022,Remaining,FEB,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,128
2022,Remaining,FEB,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,19
2022,Remaining,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,457
2022,Remaining,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1051
2022,Remaining,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,1844
2022,Remaining,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,313
2022,Remaining,FEB,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,2916
2022,Remaining,FEB,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,691
2022,Remaining,FEB,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1561
2022,Remaining,FEB,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,150
2022,Remaining,FEB,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,1236
2022,Remaining,FEB,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,14946
2022,Remaining,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,4166
2022,Remaining,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,194
2022,Remaining,FEB,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,10740
2022,Remaining,FEB,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,344
2022,Remaining,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,6859
2022,Remaining,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,464
2022,Remaining,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,60478
2022,Remaining,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2498
2022,Remaining,FEB,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,625
2022,Remaining,FEB,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,35858
2022,Remaining,FEB,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1129
2022,Remaining,FEB,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,4840
2022,Remaining,FEB,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2759
2022,Remaining,FEB,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2498
2022,Remaining,FEB,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,553
2022,Remaining,JAN,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1
2022,Remaining,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,159
2022,Remaining,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,63
2022,Remaining,JAN,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,14
2022,Remaining,JAN,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2
2022,Remaining,JAN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,65
2022,Remaining,JAN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,51
2022,Remaining,JAN,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,183
2022,Remaining,JAN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,384
2022,Remaining,JAN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,901
2022,Remaining,JAN,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,7
