Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2021,FYTD,JAN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,4.0
2021,FYTD,JUN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,31.0
2020,FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,544.0
2021,FYTD,DEC,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,717.0
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,4.0
2019,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,1221.0
2021,FYTD,JUL,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,3.0
2020,FYTD,MAY,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,805.0
2020,FYTD,APR,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,52.0
2019,FYTD,JAN,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,2.0
2020,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,389.0
2020,FYTD,MAR,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,1.0
2020,FYTD,SEP,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,1.0
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,11.0
2019,FYTD,JAN,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1.0
2019,FYTD,OCT,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1373.0
2021,FYTD,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,9913.0
2019,FYTD,OCT,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8419.0
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,476.0
2020,FYTD,APR,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,4.0
