Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2021,FYTD,AUG,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,21.0
2020,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,234.0
2020,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,559.0
2020,FYTD,FEB,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,12.0
2020,FYTD,DEC,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,20.0
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,3.0
2020,FYTD,JUN,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,17.0
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,1.0
2021,FYTD,AUG,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,10.0
2021,FYTD,NOV,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,14.0
2020,FYTD,NOV,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,2820.0
2020,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,2173.0
2019,FYTD,MAY,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,39.0
2019,FYTD,OCT,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,2820.0
2021,FYTD,APR,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,12535.0
2020,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,208.0
2019,FYTD,SEP,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1984.0
2021,FYTD,SEP,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,12.0
2020,FYTD,MAR,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,166.0
2021,FYTD,AUG,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,506.0
2021,FYTD,SEP,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,20.0
2021,FYTD,MAR,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,503.0
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,309.0
2021,FYTD,MAR,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2.0
2019,FYTD,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,11400.0
2021,FYTD,MAR,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,81.0
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,309.0
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,133.0
2019,FYTD,MAR,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,78.0
2020,FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,25.0
2021,FYTD,MAR,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,53462.0
2019,FYTD,SEP,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,3.0
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,620.0
2020,FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,45.0
2020,FYTD,MAR,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,324.0
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,217.0
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,163.0
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,3127.0
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,2839.0
2021,FYTD,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,681.0
2021,FYTD,APR,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,2.0
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,Other,Title 42,Expulsions,3.0
2021,FYTD,OCT,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,733.0
2021,FYTD,JAN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,9.0
2020,FYTD,OCT,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,2071.0
2020,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,2156.0
2021,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1580.0
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,2974.0
2019,FYTD,JUL,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,15.0
2021,FYTD,FEB,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,4.0
2020,FYTD,JUN,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,4.0
2021,FYTD,MAY,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,12360.0
2020,FYTD,SEP,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,6.0
2021,FYTD,APR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,159.0
2019,FYTD,JAN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,340.0
2021,FYTD,SEP,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,22866.0
2021,FYTD,FEB,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1.0
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,268.0
2021,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,771.0
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,23.0
2019,FYTD,SEP,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2.0
2021,FYTD,JUN,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1151.0
2020,FYTD,SEP,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,2.0
2020,FYTD,MAR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,585.0
2021,FYTD,AUG,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,629.0
2020,FYTD,SEP,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,18.0
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,295.0
2019,FYTD,NOV,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0.0
2019,FYTD,OCT,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,12748.0
2021,FYTD,APR,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,56199.0
2021,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,762.0
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,46.0
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1979.0
2019,FYTD,APR,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,81.0
2021,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1840.0
2020,FYTD,NOV,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,642.0
2019,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,3059.0
2019,FYTD,AUG,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,73.0
2021,FYTD,APR,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,4773.0
2019,FYTD,OCT,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,11375.0
2020,FYTD,APR,Office of Field Operations,UC / Single Minors,Honduras,Title 42,Expulsions,2.0
2019,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,1213.0
2019,FYTD,JUN,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0.0
2019,FYTD,MAR,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,23904.0
2020,FYTD,JUN,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,315.0
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1261.0
2019,FYTD,NOV,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,97.0
2019,FYTD,JAN,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,31.0
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,3917.0
2020,FYTD,SEP,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,1572.0
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,1.0
2020,FYTD,NOV,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,37.0
2021,FYTD,FEB,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,125.0
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,6.0
2021,FYTD,MAR,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,2152.0
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,29.0
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,2904.0
2020,FYTD,JUL,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,4.0
2021,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,10.0
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,2.0
2021,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,5932.0
2019,FYTD,DEC,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,696.0
2019,FYTD,MAY,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,1.0
2019,FYTD,MAR,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,4.0
2020,FYTD,JUN,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1.0
2020,FYTD,AUG,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1456.0
2020,FYTD,SEP,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1527.0
2019,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,205.0
2020,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,164.0
2019,FYTD,MAR,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,719.0
2021,FYTD,APR,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,2.0
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,453.0
2021,FYTD,SEP,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1859.0
2020,FYTD,MAY,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,21.0
2021,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1903.0
2020,FYTD,NOV,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2951.0
2021,FYTD,MAY,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1621.0
2021,FYTD,NOV,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,9.0
2021,FYTD,NOV,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,48.0
2021,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,27.0
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,1072.0
2019,FYTD,JUN,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,29.0
2020,FYTD,SEP,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1580.0
2019,FYTD,APR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1632.0
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,Guatemala,Title 42,Expulsions,7.0
2020,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,644.0
2019,FYTD,MAY,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,547.0
2021,FYTD,MAR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,15.0
2020,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,49.0
2019,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1148.0
2021,FYTD,MAY,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,8.0
2019,FYTD,MAR,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,5399.0
2020,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3045.0
2019,FYTD,MAY,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,278.0
2020,FYTD,DEC,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,44.0
2021,FYTD,JUL,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1323.0
2020,FYTD,NOV,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,1.0
2021,FYTD,MAY,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,1186.0
2020,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,169.0
2021,FYTD,FEB,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,29.0
2021,FYTD,NOV,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,57.0
2020,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,8.0
2021,FYTD,MAR,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,44.0
2020,FYTD,JUN,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,23.0
2021,FYTD,SEP,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8627.0
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,1.0
2020,FYTD,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,92.0
2020,FYTD,NOV,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,50.0
2020,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,714.0
2020,FYTD,JAN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,272.0
2021,FYTD,OCT,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,88.0
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,22285.0
2019,FYTD,DEC,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,993.0
2020,FYTD,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,807.0
2019,FYTD,JUN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,15.0
2021,FYTD,APR,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,6.0
2019,FYTD,NOV,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1508.0
2019,FYTD,OCT,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,74.0
2020,FYTD,JUL,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,36.0
2020,FYTD,MAR,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,20.0
2021,FYTD,OCT,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,11.0
2019,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,3818.0
2019,FYTD,OCT,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,439.0
2021,FYTD,MAR,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,4890.0
2019,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,449.0
2019,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,632.0
2021,FYTD,MAY,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1363.0
2020,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,94.0
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,61.0
2019,FYTD,AUG,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,42.0
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,16.0
2019,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,16004.0
2020,FYTD,MAY,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,1370.0
2019,FYTD,SEP,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,4954.0
2019,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,908.0
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2488.0
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,2704.0
2021,FYTD,AUG,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,11.0
2021,FYTD,SEP,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,37.0
2021,FYTD,APR,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,936.0
2020,FYTD,SEP,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,4265.0
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,23.0
2019,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,109.0
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,264.0
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,690.0
2021,FYTD,JUN,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,84.0
2021,FYTD,JUN,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,1.0
2021,FYTD,OCT,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,19.0
2019,FYTD,DEC,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2092.0
2020,FYTD,FEB,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,3.0
2021,FYTD,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,47789.0
2019,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,80.0
2021,FYTD,SEP,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,11.0
2020,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,513.0
2020,FYTD,MAY,Office of Field Operations,UC / Single Minors,El Salvador,Title 42,Expulsions,1.0
2020,FYTD,APR,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,5.0
2019,FYTD,JUN,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0.0
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,657.0
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0.0
2020,FYTD,SEP,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,18.0
2020,FYTD,JUL,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,130.0
2021,FYTD,AUG,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,1138.0
2021,FYTD,JUL,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,606.0
2020,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,1729.0
2020,FYTD,MAY,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,15.0
2020,FYTD,AUG,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,8.0
2019,FYTD,NOV,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,3.0
2021,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2278.0
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1207.0
2021,FYTD,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,2011.0
2020,FYTD,APR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,0.0
2020,FYTD,JUN,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,46.0
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0.0
2021,FYTD,SEP,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,5062.0
2019,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,4044.0
2021,FYTD,MAR,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,4.0
2020,FYTD,APR,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,57.0
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,19.0
2021,FYTD,MAY,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,8.0
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0.0
2020,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,1229.0
2021,FYTD,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,3.0
2021,FYTD,NOV,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,452.0
2021,FYTD,APR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,575.0
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,208.0
2021,FYTD,APR,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,13663.0
2021,FYTD,JUN,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,1.0
2021,FYTD,MAR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1719.0
2020,FYTD,JUL,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,52.0
2020,FYTD,MAR,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,465.0
2019,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,868.0
2020,FYTD,JUN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,50.0
2019,FYTD,MAR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,4970.0
2020,FYTD,NOV,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,13683.0
2021,FYTD,JUL,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,777.0
2021,FYTD,FEB,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,96.0
2019,FYTD,SEP,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,0.0
2021,FYTD,AUG,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,697.0
2020,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,3147.0
2019,FYTD,SEP,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,3409.0
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1565.0
2021,FYTD,MAY,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,12.0
2021,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1652.0
2020,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1133.0
2021,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,241.0
2021,FYTD,NOV,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,291.0
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,54.0
2021,FYTD,SEP,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,8773.0
2021,FYTD,OCT,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,514.0
2019,FYTD,MAY,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,81.0
2021,FYTD,APR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,27.0
2019,FYTD,APR,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,7118.0
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,947.0
2019,FYTD,AUG,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,13.0
2019,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,103.0
2020,FYTD,JUN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,657.0
2020,FYTD,SEP,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,18.0
2021,FYTD,SEP,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,559.0
2020,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,899.0
2019,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,122.0
2021,FYTD,AUG,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2918.0
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,7889.0
2021,FYTD,AUG,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,29893.0
2019,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,906.0
2019,FYTD,JUL,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,174.0
2020,FYTD,JUN,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,666.0
2019,FYTD,JAN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,901.0
2020,FYTD,DEC,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,283.0
2019,FYTD,JUN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,1151.0
2020,FYTD,MAY,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,8.0
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,492.0
2019,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,794.0
2020,FYTD,APR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,3.0
2020,FYTD,DEC,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2607.0
2021,FYTD,SEP,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,55.0
2019,FYTD,AUG,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,6.0
2019,FYTD,JUL,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,5864.0
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,180.0
